Year,Production,Supply,Yield,Price,Rolling Std Dev,Harvested Acreage
1952-01-01,71.1,1306.0,18.4,2.09,0.4379325653775716,9.548459510869565
1953-01-01,67.8,1173.0,17.3,2.04,0.37190235766443147,9.68423063583815
1954-01-01,54.4,984.0,18.088,2.12,0.3054306448080771,7.43172932330827
1955-01-01,47.3,937.0,19.8,1.98,0.2543604576663623,5.903063888888889
1956-01-01,49.8,1005.0,20.2,1.97,0.1917917905153651,6.091994554455446
1957-01-01,43.8,956.0,21.826,1.93,0.11453132428476921,4.958855951617337
1958-01-01,53.0,1457.0,27.5,1.75,0.13556838819867487,4.762387272727272
1959-01-01,51.7,1118.0,21.6,1.76,0.12233523241857955,5.914503935185185
1960-01-01,51.9,1354.7,26.1,1.74,0.1386378539413149,4.913697126436781
1961-01-01,51.6,1232.4,23.9,1.83,0.14157126912768375,5.334986610878661
1962-01-01,43.7,1092.0,25.0,2.04,0.14348476848738198,4.3193954
1963-01-01,45.5,1146.8,25.2,1.85,0.13601470508735017,4.461618055555555
1964-01-01,49.8,1283.4,25.8,1.37,0.20024984394500514,4.769701162790697
1965-01-01,49.6,1315.6,26.5,1.35,0.24045884168699957,4.625059622641509
1966-01-01,49.6,1304.9,26.3,1.63,0.22357969225284707,4.660231178707224
1967-01-01,49.6,1507.6,26.3,1.39,0.23687837308703963,4.660231178707224
1968-01-01,54.8,1556.6,28.4,1.24,0.25885528892811865,4.768082394366197
1969-01-01,47.1,1442.7,30.6,1.25,0.26785341988754563,3.8034789215686278
1970-01-01,43.6,1351.6,31.0,1.33,0.27384468059633443,3.4754122580645164
1971-01-01,47.7,1618.6,33.9,1.34,0.2734958866235457,3.4769641592920357
1972-01-01,47.3,1546.2,32.7,1.76,0.27494903108934404,3.5743322629969416
1973-01-01,54.1,1710.8,31.6,3.95,0.7517474592070409,4.230500158227848
1974-01-01,65.4,1781.9,27.3,4.09,1.0192908259563542,5.919658241758241
1975-01-01,69.5,2126.927,30.6,3.55,1.1272852210940087,5.6123521241830066
1976-01-01,70.9,2148.78,30.3,2.73,1.1242650798174638,5.782093894389439
1977-01-01,66.7,2045.527,30.7,2.33,1.0973974032254947,5.3686982084690555
1978-01-01,56.5,1775.524,31.4,2.97,1.10053809153027,4.446316082802548
1979-01-01,62.5,2134.06,34.1,3.78,1.1312851367387704,4.529050586510263
1980-01-01,71.1,2380.934,33.5,3.91,1.1177042895094733,5.2445270149253735
1981-01-01,80.6,2785.357,34.6,3.66,1.0374794631045154,5.756260982658959
1982-01-01,77.9,2764.967,35.5,3.55,0.9127829573741637,5.422388591549296
1983-01-01,61.4,2419.824,39.4,3.53,0.7197995301723671,3.850824111675127
1984-01-01,66.928,2594.777,38.77,3.39,0.5271938289977701,4.265732122775341
1985-01-01,64.704,2424.115,37.465,3.08,0.5122935652237823,4.267631634859201
1986-01-01,60.688,2090.57,34.448,2.42,0.5287005224361324,4.353317533673943
1987-01-01,55.945,2107.685,37.674,2.57,0.5519222606655569,3.6694508746084833
1988-01-01,53.189,1812.201,34.071,3.72,0.5557815954295167,3.8576114129318193
1989-01-01,62.189,2036.618,32.749,3.72,0.4891706029473518,4.692422011359125
1990-01-01,69.103,2729.778,39.503,2.61,0.524886712163737,4.322632917753081
1991-01-01,57.803,1980.139,34.257,3.0,0.5120073389625506,4.169486620252795
1992-01-01,62.761,2466.798,39.305,3.24,0.4698766762769652,3.9456956888436587
1993-01-01,62.712,2396.44,38.2,3.26,0.44856251886813997,4.0566619790575915
1994-01-01,61.77,2320.981,37.6,3.45,0.4418238713937155,4.059488257978724
1995-01-01,60.955,2182.708,35.8085,4.55,0.5911384752912755,4.206343542734267
1996-01-01,62.819,2277.388,36.2532,4.3,0.664438701370401,4.281798295047058
1997-01-01,62.84,2481.466,39.4886,3.38,0.6599426054015904,3.93229392786779
1998-01-01,59.002,2547.321,43.1735,2.65,0.6332234753204958,3.3769995969749966
1999-01-01,53.773,2295.56,42.6898,2.48,0.6440120458124304,3.112588291582533
2000-01-01,53.063,2228.16,41.9908,2.62,0.6665219539906484,3.1226203394553096
2001-01-01,48.473,1947.453,40.176,2.78,0.6642744960184781,2.9813621726901633
2002-01-01,45.824,1605.878,35.0445,3.56,0.6447568251956395,3.2311317096834027
2003-01-01,53.063,2344.415,44.1817,3.4,0.6397081484173169,2.9677745797468185
2004-01-01,49.969,2156.79,43.1626,3.4,0.639878658004542,2.8607150044251277
2005-01-01,50.104,2103.325,41.9792,3.42,0.640200607764328,2.9493055894347675
2006-01-01,46.8,1808.416,38.6414,4.26,0.6941443391949258,2.9927782119695454
2007-01-01,50.999,2051.088,40.2182,6.48,1.0935219026225071,3.133434090784769
2008-01-01,56.036,2511.896,44.8265,6.78,1.4288528456581702,3.0889709836815276
2009-01-01,49.841,2208.918,44.3193,4.87,1.456589000079127,2.7789158007910775
2010-01-01,46.883,2163.023,46.1366,5.7,1.486034737960132,2.5110267585821235
2011-01-01,45.687,1993.111,43.6253,7.24,1.6293340803698118,2.58783002867602
2012-01-01,48.758,2252.307,46.1936,7.77,1.7506509611795211,2.6082283238370683
2013-01-01,45.332,2134.979,47.0965,6.87,1.681958409387427,2.3784705572600937
2014-01-01,46.385,2026.31,43.6846,5.99,1.5958611240558243,2.6238000176263485
2015-01-01,47.318,2061.939,43.5762,4.89,1.4692883765052134,2.6832340566639585
2016-01-01,43.848,2308.663,52.6515,3.89,1.4068856644117405,2.0578824990741005
2017-01-01,37.555,1740.91,46.3563,4.72,1.259356497533077,2.0018914958700327
2018-01-01,39.615,1885.361,47.5921,5.16,1.1846467316410703,2.05686754209207
2019-01-01,37.394,1932.017,51.6665,4.58,1.2211432795093704,1.7884401633553657
2020-01-01,36.609,1819.673,49.7056,5.05,1.1842562555409493,1.8199693686425678
2021-01-01,37.145,1646.254,44.3197,7.63,1.300226961539847,2.071023771595927
2022-01-01,35.485,1649.713,46.4904,8.83,1.5669416264194567,1.8860928116342297
2023-01-01,37.077,1803.942,48.6539,6.96,1.549626543475045,1.8830786607034584
2024-01-01,38.469,1971.301,51.2439,5.6,1.451407623966845,1.8550270851750161
